appid,maxccu,success_class,suc_class,followers
1060110,2,F,0,21
1055930,1,F,0,23
1052590,1,F,0,38
1052330,1,F,0,16
1052850,1,F,0,13
1055420,1,F,0,12
1053300,1,F,0,14
1028360,2,F,0,7
1069500,1,F,0,8
1066730,2,F,0,21
1062050,1,F,0,44
1070400,2,F,0,9
1070450,3,F,0,25
1068900,1,F,0,24
1055460,1,F,0,13
1072850,1,F,0,10
1027690,1,F,0,9
1031470,2,F,0,17
1076730,2,F,0,29
873530,2,F,0,15
1055870,1,F,0,21
1071030,1,F,0,28
1080360,1,F,0,20
1023940,2,F,0,53
1079890,5,F,0,18
1079780,1,F,0,102
1090540,1,F,0,6
1085730,1,F,0,29
1079870,2,F,0,37
1076300,1,F,0,20
964420,1,F,0,67
1085800,0,F,0,6
1088980,1,F,0,14
1089800,1,F,0,33
1028330,1,F,0,18
1087770,1,F,0,8
1103040,1,F,0,7
1022380,4,F,0,13
1103050,2,F,0,7
1074870,3,F,0,16
1073420,1,F,0,29
1109960,2,F,0,47
1087070,1,F,0,28
1108360,1,F,0,15
1108030,1,F,0,6
1096650,4,F,0,43
1082700,1,F,0,86
1118870,6,F,0,53
787410,1,F,0,17
1145670,1,F,0,6
1124010,6,F,0,26
1125770,2,F,0,14
1129200,2,F,0,10
1116010,2,F,0,43
1134130,1,F,0,28
1136250,1,F,0,14
1145860,1,F,0,23
1124510,1,F,0,15
1139780,2,F,0,11
1147520,1,F,0,17
897970,2,F,0,22
1128150,1,F,0,28
1147140,1,F,0,6
1141660,1,F,0,22
1132300,1,F,0,9
1152800,1,F,0,23
1135320,1,F,0,14
1018700,1,F,0,20
1067730,3,F,0,51
1134600,1,F,0,13
1148420,1,F,0,38
1152780,1,F,0,15
1144060,2,F,0,24
1158230,3,F,0,52
1137630,1,F,0,9
1148460,1,F,0,21
1152540,1,F,0,44
1153030,2,F,0,18
1126630,2,F,0,15
1149900,2,F,0,11
1111250,5,F,0,17
1156130,2,F,0,20
904640,1,F,0,35
1159490,2,F,0,36
1156810,1,F,0,14
1130970,1,F,0,10
1158820,6,F,0,19
1165010,1,F,0,95
1169640,1,F,0,9
1163830,1,F,0,28
768630,1,F,0,29
1163620,1,F,0,21
1166100,1,F,0,19
1177350,1,F,0,22
1089100,1,F,0,5
1177300,2,F,0,18
1178570,1,F,0,24
1143130,3,F,0,22
1172340,2,F,0,25
1164020,1,F,0,689
1178060,2,F,0,30
1152000,2,F,0,20
1182210,1,F,0,9
1176840,1,F,0,16
1177950,1,F,0,45
1181820,2,F,0,99
1182690,2,F,0,37
960630,1,F,0,16
1200870,1,F,0,25
1183650,2,F,0,22
1193680,1,F,0,13
1186760,1,F,0,12
1184360,2,F,0,12
1190370,1,F,0,12
1193380,1,F,0,22
1203030,2,F,0,50
1225910,1,F,0,15
1172400,2,F,0,35
1205690,1,F,0,22
1200630,1,F,0,15
1170390,1,F,0,31
1189120,1,F,0,10
1198020,4,F,0,70
1206320,2,F,0,107
1166680,4,F,0,35
1175550,2,F,0,15
1214250,1,F,0,21
1219180,1,F,0,21
1221660,1,F,0,15
916340,1,F,0,22
1220070,1,F,0,12
987250,1,F,0,20
840510,6,F,0,53
1209980,2,F,0,23
1212330,1,F,0,29
1214050,1,F,0,36
1202550,1,F,0,29
1187430,1,F,0,10
1218590,1,F,0,28
1217820,1,F,0,14
1184190,1,F,0,11
1211780,1,F,0,26
1220580,3,F,0,31
1230120,2,F,0,37
850970,1,F,0,36
1158650,1,F,0,16
1231780,4,F,0,10
1231800,2,F,0,14
1230870,1,F,0,16
1231000,1,F,0,38
1046350,3,F,0,70
1185410,7,F,0,25
1246650,1,F,0,4898
1239920,2,F,0,21
1226820,1,F,0,39
1220540,3,F,0,110
1232650,1,F,0,13
1243030,1,F,0,15
1226420,1,F,0,41
1228840,1,F,0,47
1179690,1,F,0,38
1258290,2,F,0,22
1234820,1,F,0,24
1239900,1,F,0,40
1258640,1,F,0,55
1264630,1,F,0,9
1268160,1,F,0,9
1253400,3,F,0,35
1268280,1,F,0,14
1252920,1,F,0,8
1264890,1,F,0,17
1268710,2,F,0,90
1277300,2,F,0,20
1274250,2,F,0,47
1281130,2,F,0,13
1277160,1,F,0,20
1271520,1,F,0,43
1268990,1,F,0,14
1281380,1,F,0,15
1286870,9,F,0,34
1287880,1,F,0,8
1256980,1,F,0,5
1291100,1,F,0,44
1251380,2,F,0,20
1296370,1,F,0,13
1291470,1,F,0,16
1303760,2,F,0,23
1302290,2,F,0,23
1276590,3,F,0,38
1301310,2,F,0,19
1298380,1,F,0,55
1293370,1,F,0,9
1298520,1,F,0,25
1171950,2,F,0,29
1310860,2,F,0,24
1312510,1,F,0,10
1302700,2,F,0,31
1314010,1,F,0,17
1283740,1,F,0,35
1293430,2,F,0,12
1282180,1,F,0,61
1283180,2,F,0,27
1328850,2,F,0,10
1219600,3,F,0,18
1326710,2,F,0,71
1229640,1,F,0,24
1260340,2,F,0,37
1330770,1,F,0,7
1333540,1,F,0,73
1145210,1,F,0,9
1338930,2,F,0,9
1350010,1,F,0,12
1336020,2,F,0,35
1345810,1,F,0,9
1343330,2,F,0,27
1285800,1,F,0,21
1365680,1,F,0,17
1353130,2,F,0,17
1349070,2,F,0,14
1356300,1,F,0,9
1305320,1,F,0,48
1343100,2,F,0,17
1370580,1,F,0,13
1023420,2,F,0,79
1355590,1,F,0,18
644860,4,F,0,30
1260720,2,F,0,23
1031230,3,F,0,39
1365700,1,F,0,48
1372840,3,F,0,15
1291110,2,F,0,10
997020,2,F,0,46
1264240,2,F,0,84
1257950,1,F,0,27
1371510,3,F,0,22
1372260,1,F,0,7
1377980,1,F,0,7
1386000,3,F,0,40
1391160,2,F,0,14
1387870,1,F,0,14
1375300,4,F,0,34
1393850,1,F,0,16
1394570,1,F,0,9
1395660,1,F,0,11
1398290,1,F,0,13
1400380,2,F,0,13
1393810,1,F,0,40
1125650,1,F,0,16
1219010,1,F,0,8
1394350,4,F,0,62
1403680,1,F,0,30
1398120,2,F,0,15
1399460,3,F,0,20
1364180,2,F,0,81
1404550,3,F,0,27
1409930,2,F,0,16
1398130,3,F,0,15
1396020,3,F,0,11
1396010,4,F,0,13
1381690,1,F,0,17
1408000,1,F,0,10
1413260,2,F,0,35
1408450,2,F,0,12
1413650,2,F,0,22
1417250,2,F,0,8
1410110,4,F,0,39
1411710,1,F,0,13
1402390,8,F,0,43
1409510,3,F,0,66
1420100,2,F,0,11
1423610,4,F,0,30
1431620,1,F,0,18
1422790,3,F,0,38
1428420,2,F,0,38
1414500,2,F,0,72
1416290,1,F,0,12
1258830,2,F,0,17
1408400,6,F,0,39
1434470,1,F,0,8
1433240,1,F,0,42
1443190,1,F,0,30
1445360,1,F,0,13
1307220,1,F,0,17
1460710,1,F,0,7
1454110,2,F,0,21
1398950,1,F,0,8
1439340,2,F,0,15
1364610,1,F,0,41
1455890,1,F,0,32
1462200,1,F,0,11
1451860,2,F,0,23
1102490,3,F,0,42
1434270,1,F,0,13
1307860,1,F,0,17
1460100,1,F,0,12
1476220,1,F,0,9
1467080,3,F,0,18
1403040,2,F,0,19
1467600,1,F,0,22
1471450,1,F,0,19
1467870,7,F,0,36
560840,2,F,0,19
1249740,4,F,0,51
1447800,2,F,0,10
1476690,2,F,0,17
1342520,1,F,0,7
1468370,1,F,0,27
1478630,1,F,0,9
1482850,2,F,0,11
1471510,3,F,0,10
1365400,5,F,0,60
1210930,2,F,0,116
1262530,1,F,0,29
1486880,2,F,0,22
1508060,1,F,0,24
